Date,Nombre d'admissions Ã  l'hopital (moyenne mobile sur 7 jours),Nombre de sorties d'hopital (moyenne mobile sur 7 jours)
16/03/2020,2,4
17/03/2020,3,3
18/03/2020,3,3
19/03/2020,4,2
20/03/2020,5,2
21/03/2020,6,2
22/03/2020,7,2
23/03/2020,10,3
24/03/2020,11,3
25/03/2020,14,3
26/03/2020,16,4
27/03/2020,17,4
28/03/2020,18,5
29/03/2020,18,5
30/03/2020,18,7
31/03/2020,18,9
01/04/2020,18,10
02/04/2020,17,10
03/04/2020,16,12
04/04/2020,15,13
05/04/2020,14,14
06/04/2020,13,13
07/04/2020,13,13
08/04/2020,12,12
09/04/2020,11,13
10/04/2020,10,12
11/04/2020,10,11
12/04/2020,10,10
13/04/2020,8,10
14/04/2020,8,11
15/04/2020,7,11
16/04/2020,7,12
17/04/2020,8,11
18/04/2020,8,11
19/04/2020,8,10
20/04/2020,10,11
21/04/2020,9,10
22/04/2020,10,10
23/04/2020,9,9
24/04/2020,9,10
25/04/2020,9,9
26/04/2020,9,10
27/04/2020,7,10
28/04/2020,7,11
29/04/2020,5,11
30/04/2020,6,11
01/05/2020,6,9
02/05/2020,5,9
03/05/2020,4,9
04/05/2020,4,7
05/05/2020,4,6
06/05/2020,4,6
07/05/2020,3,5
08/05/2020,3,6
09/05/2020,2,6
10/05/2020,3,7
11/05/2020,2,6
12/05/2020,3,5
13/05/2020,3,5
14/05/2020,3,5
15/05/2020,3,4
16/05/2020,3,4
17/05/2020,2,3
18/05/2020,3,4
19/05/2020,3,4
20/05/2020,3,5
21/05/2020,3,4
22/05/2020,3,5
23/05/2020,3,4
24/05/2020,4,4
25/05/2020,3,4
26/05/2020,2,3
27/05/2020,2,2
28/05/2020,1,2
29/05/2020,1,2
30/05/2020,1,2
31/05/2020,1,2
01/06/2020,1,2
02/06/2020,1,2
03/06/2020,1,2
04/06/2020,2,2
05/06/2020,2,2
06/06/2020,1,2
07/06/2020,1,2
08/06/2020,1,2
09/06/2020,2,2
10/06/2020,2,2
11/06/2020,2,2
12/06/2020,2,2
13/06/2020,2,3
14/06/2020,2,3
15/06/2020,2,3
16/06/2020,1,3
17/06/2020,1,3
18/06/2020,1,3
19/06/2020,1,2
20/06/2020,1,2
21/06/2020,1,2
22/06/2020,1,2
23/06/2020,1,2
24/06/2020,2,2
25/06/2020,2,2
26/06/2020,2,1
27/06/2020,2,1
28/06/2020,1,1
29/06/2020,2,1
30/06/2020,2,2
01/07/2020,2,1
02/07/2020,2,2
03/07/2020,3,3
04/07/2020,2,3
05/07/2020,2,3
06/07/2020,2,3
07/07/2020,2,4
08/07/2020,3,4
09/07/2020,3,4
10/07/2020,4,3
11/07/2020,4,4
12/07/2020,5,4
13/07/2020,5,4
14/07/2020,5,4
15/07/2020,5,4
16/07/2020,4,4
17/07/2020,3,4
18/07/2020,3,4
19/07/2020,3,4
20/07/2020,3,5
21/07/2020,4,4
22/07/2020,4,5
23/07/2020,5,5
24/07/2020,5,5
25/07/2020,5,4
26/07/2020,5,5
27/07/2020,5,4
28/07/2020,5,4
29/07/2020,5,5
30/07/2020,5,5
31/07/2020,5,5
01/08/2020,5,5
02/08/2020,5,5
03/08/2020,5,6
04/08/2020,5,6
05/08/2020,4,5
06/08/2020,4,5
07/08/2020,3,5
08/08/2020,4,6
09/08/2020,4,5
10/08/2020,5,4
11/08/2020,5,5
12/08/2020,4,5
13/08/2020,4,6
14/08/2020,4,4
15/08/2020,3,4
16/08/2020,3,4
17/08/2020,2,4
18/08/2020,2,4
19/08/2020,2,3
20/08/2020,2,3
21/08/2020,3,3
22/08/2020,3,3
23/08/2020,3,3
24/08/2020,3,2
25/08/2020,3,2
26/08/2020,3,3
27/08/2020,3,3
28/08/2020,2,3
29/08/2020,3,3
30/08/2020,2,3
31/08/2020,2,4
01/09/2020,2,4
02/09/2020,2,4
03/09/2020,2,3
04/09/2020,2,3
05/09/2020,1,3
06/09/2020,1,3
07/09/2020,1,1
08/09/2020,2,2
09/09/2020,2,1
10/09/2020,2,1
11/09/2020,2,2
12/09/2020,2,2
13/09/2020,2,2
14/09/2020,2,2
15/09/2020,2,2
16/09/2020,2,3
17/09/2020,2,2
18/09/2020,2,2
19/09/2020,2,1
20/09/2020,2,2
21/09/2020,2,2
22/09/2020,2,1
23/09/2020,2,1
24/09/2020,3,1
25/09/2020,3,1
26/09/2020,3,1
27/09/2020,3,1
28/09/2020,3,2
29/09/2020,4,3
30/09/2020,4,3
01/10/2020,3,3
02/10/2020,3,3
03/10/2020,3,3
04/10/2020,4,3
05/10/2020,4,3
06/10/2020,4,3
07/10/2020,4,3
08/10/2020,5,2
09/10/2020,5,2
10/10/2020,5,2
11/10/2020,5,2
12/10/2020,5,2
13/10/2020,5,2
14/10/2020,5,2
15/10/2020,5,3
16/10/2020,5,3
17/10/2020,5,3
18/10/2020,6,3
19/10/2020,7,3
20/10/2020,9,4
21/10/2020,12,4
22/10/2020,16,5
